#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Blount Disease Larry Chen Mary Wyers , M . D .
1-1	0-6	Blount	RADLEX[1]	
1-2	7-14	Disease	RADLEX[1]	
1-3	15-20	Larry	_	
1-4	21-25	Chen	_	
1-5	26-30	Mary	_	
1-6	31-36	Wyers	_	
1-7	37-38	,	_	
1-8	39-40	M	_	
1-9	41-42	.	_	
1-10	43-44	D	_	
1-11	45-46	.	_	

#Text=Children ' s Memorial Hospital Abstract 3 . 5 yo female with bowlegs Keywords Blount Disease Publication Date : 2004 - 06 - 16 History 3 . 5 yo female with bowlegs Findings Beaking and irregularity of the medial proximal tibial metaphysis , tibia vara Diagnosis Blount Disease Differential D - resistant ( familial hypophosphatemic ) rickets , developmental / physiologic bowing Discussion The young child with bowlegs walks with his hips abducted and externally rotated and his knees flexed on tibias that have increased internal tibial torsion .
2-1	47-55	Children	_	
2-2	56-57	'	_	
2-3	58-59	s	_	
2-4	60-68	Memorial	_	
2-5	69-77	Hospital	_	
2-6	78-86	Abstract	_	
2-7	87-88	3	_	
2-8	89-90	.	_	
2-9	91-92	5	_	
2-10	93-95	yo	_	
2-11	96-102	female	RADLEX	
2-12	103-107	with	_	
2-13	108-115	bowlegs	_	
2-14	116-124	Keywords	_	
2-15	125-131	Blount	RADLEX[3]	
2-16	132-139	Disease	RADLEX[3]	
2-17	140-151	Publication	_	
2-18	152-156	Date	_	
2-19	157-158	:	_	
2-20	159-163	2004	_	
2-21	164-165	-	_	
2-22	166-168	06	_	
2-23	169-170	-	_	
2-24	171-173	16	_	
2-25	174-181	History	_	
2-26	182-183	3	_	
2-27	184-185	.	_	
2-28	186-187	5	_	
2-29	188-190	yo	_	
2-30	191-197	female	RADLEX	
2-31	198-202	with	_	
2-32	203-210	bowlegs	_	
2-33	211-219	Findings	_	
2-34	220-227	Beaking	RADLEX[5]	
2-35	228-231	and	RADLEX[5]	
2-36	232-244	irregularity	RADLEX[5]	
2-37	245-247	of	_	
2-38	248-251	the	_	
2-39	252-258	medial	RADLEX	
2-40	259-267	proximal	RADLEX	
2-41	268-274	tibial	RADLEX[8]	
2-42	275-285	metaphysis	RADLEX[8]	
2-43	286-287	,	_	
2-44	288-293	tibia	RADLEX	
2-45	294-298	vara	_	
2-46	299-308	Diagnosis	RADLEX	
2-47	309-315	Blount	RADLEX[11]	
2-48	316-323	Disease	RADLEX[11]	
2-49	324-336	Differential	_	
2-50	337-338	D	_	
2-51	339-340	-	_	
2-52	341-350	resistant	_	
2-53	351-352	(	_	
2-54	353-361	familial	_	
2-55	362-378	hypophosphatemic	_	
2-56	379-380	)	_	
2-57	381-388	rickets	RADLEX	
2-58	389-390	,	_	
2-59	391-404	developmental	RADLEX	
2-60	405-406	/	_	
2-61	407-418	physiologic	_	
2-62	419-425	bowing	RADLEX	
2-63	426-436	Discussion	_	
2-64	437-440	The	_	
2-65	441-446	young	_	
2-66	447-452	child	RADLEX	
2-67	453-457	with	_	
2-68	458-465	bowlegs	_	
2-69	466-471	walks	_	
2-70	472-476	with	_	
2-71	477-480	his	_	
2-72	481-485	hips	_	
2-73	486-494	abducted	_	
2-74	495-498	and	_	
2-75	499-509	externally	_	
2-76	510-517	rotated	_	
2-77	518-521	and	_	
2-78	522-525	his	_	
2-79	526-531	knees	_	
2-80	532-538	flexed	_	
2-81	539-541	on	_	
2-82	542-548	tibias	_	
2-83	549-553	that	_	
2-84	554-558	have	_	
2-85	559-568	increased	RADLEX	
2-86	569-577	internal	_	
2-87	578-584	tibial	_	
2-88	585-592	torsion	RADLEX	
2-89	593-594	.	_	

#Text=A significant association with obesity has been noted .
3-1	595-596	A	_	
3-2	597-608	significant	_	
3-3	609-620	association	_	
3-4	621-625	with	_	
3-5	626-633	obesity	RADLEX	
3-6	634-637	has	_	
3-7	638-642	been	_	
3-8	643-648	noted	_	
3-9	649-650	.	_	

#Text=Two forms of Blount disease have been identified : infantile tibia vara , which is usually bilateral and affects children under 10 yo , with onset most commonly between 1 - 3 yo ; and adolescent tibia vara , which is usually unilateral and occurs in children between the ages of 8 - 5 yo .
4-1	651-654	Two	_	
4-2	655-660	forms	_	
4-3	661-663	of	_	
4-4	664-670	Blount	RADLEX[19]	
4-5	671-678	disease	RADLEX[19]	
4-6	679-683	have	_	
4-7	684-688	been	_	
4-8	689-699	identified	_	
4-9	700-701	:	_	
4-10	702-711	infantile	_	
4-11	712-717	tibia	RADLEX	
4-12	718-722	vara	_	
4-13	723-724	,	_	
4-14	725-730	which	_	
4-15	731-733	is	_	
4-16	734-741	usually	_	
4-17	742-751	bilateral	RADLEX	
4-18	752-755	and	_	
4-19	756-763	affects	_	
4-20	764-772	children	_	
4-21	773-778	under	_	
4-22	779-781	10	_	
4-23	782-784	yo	_	
4-24	785-786	,	_	
4-25	787-791	with	_	
4-26	792-797	onset	_	
4-27	798-802	most	_	
4-28	803-811	commonly	_	
4-29	812-819	between	_	
4-30	820-821	1	_	
4-31	822-823	-	_	
4-32	824-825	3	_	
4-33	826-828	yo	_	
4-34	829-830	;	_	
4-35	831-834	and	_	
4-36	835-845	adolescent	RADLEX	
4-37	846-851	tibia	RADLEX	
4-38	852-856	vara	_	
4-39	857-858	,	_	
4-40	859-864	which	_	
4-41	865-867	is	_	
4-42	868-875	usually	_	
4-43	876-886	unilateral	RADLEX	
4-44	887-890	and	_	
4-45	891-897	occurs	_	
4-46	898-900	in	_	
4-47	901-909	children	_	
4-48	910-917	between	_	
4-49	918-921	the	_	
4-50	922-926	ages	_	
4-51	927-929	of	_	
4-52	930-931	8	_	
4-53	932-933	-	_	
4-54	934-935	5	_	
4-55	936-938	yo	_	
4-56	939-940	.	_	

#Text=The course of the adolsecent form of the disease is less severe and its incidence less frequent than in the infantile form .
5-1	941-944	The	_	
5-2	945-951	course	_	
5-3	952-954	of	_	
5-4	955-958	the	_	
5-5	959-969	adolsecent	_	
5-6	970-974	form	_	
5-7	975-977	of	_	
5-8	978-981	the	_	
5-9	982-989	disease	_	
5-10	990-992	is	_	
5-11	993-997	less	_	
5-12	998-1004	severe	RADLEX	
5-13	1005-1008	and	_	
5-14	1009-1012	its	_	
5-15	1013-1022	incidence	_	
5-16	1023-1027	less	_	
5-17	1028-1036	frequent	_	
5-18	1037-1041	than	_	
5-19	1042-1044	in	_	
5-20	1045-1048	the	_	
5-21	1049-1058	infantile	_	
5-22	1059-1063	form	_	
5-23	1064-1065	.	_	

#Text=Based on the progession of radiographic changes in Blount disease , congenital tibia vara is divided into 6 stages as a guideline for prognosis and treatment .
6-1	1066-1071	Based	_	
6-2	1072-1074	on	_	
6-3	1075-1078	the	_	
6-4	1079-1089	progession	_	
6-5	1090-1092	of	_	
6-6	1093-1105	radiographic	_	
6-7	1106-1113	changes	_	
6-8	1114-1116	in	_	
6-9	1117-1123	Blount	RADLEX[26]	
6-10	1124-1131	disease	RADLEX[26]	
6-11	1132-1133	,	_	
6-12	1134-1144	congenital	RADLEX	
6-13	1145-1150	tibia	RADLEX	
6-14	1151-1155	vara	_	
6-15	1156-1158	is	_	
6-16	1159-1166	divided	_	
6-17	1167-1171	into	_	
6-18	1172-1173	6	_	
6-19	1174-1180	stages	_	
6-20	1181-1183	as	_	
6-21	1184-1185	a	_	
6-22	1186-1195	guideline	_	
6-23	1196-1199	for	_	
6-24	1200-1209	prognosis	_	
6-25	1210-1213	and	_	
6-26	1214-1223	treatment	RADLEX	
6-27	1224-1225	.	_	

#Text=A metaphyseal - diaphyseal angle ( a line drawn across the tibial metaphysis compared with one perpendicular to the tibial axis ) of more than 11 degrees may predict the deveopment of tibia vara before typical radiologic findings occur .
7-1	1226-1227	A	_	
7-2	1228-1239	metaphyseal	RADLEX	
7-3	1240-1241	-	_	
7-4	1242-1252	diaphyseal	RADLEX	
7-5	1253-1258	angle	RADLEX	
7-6	1259-1260	(	_	
7-7	1261-1262	a	_	
7-8	1263-1267	line	_	
7-9	1268-1273	drawn	_	
7-10	1274-1280	across	_	
7-11	1281-1284	the	_	
7-12	1285-1291	tibial	RADLEX[33]	
7-13	1292-1302	metaphysis	RADLEX[33]	
7-14	1303-1311	compared	_	
7-15	1312-1316	with	_	
7-16	1317-1320	one	_	
7-17	1321-1334	perpendicular	RADLEX	
7-18	1335-1337	to	_	
7-19	1338-1341	the	_	
7-20	1342-1348	tibial	_	
7-21	1349-1353	axis	RADLEX	
7-22	1354-1355	)	_	
7-23	1356-1358	of	_	
7-24	1359-1363	more	_	
7-25	1364-1368	than	_	
7-26	1369-1371	11	_	
7-27	1372-1379	degrees	_	
7-28	1380-1383	may	_	
7-29	1384-1391	predict	_	
7-30	1392-1395	the	_	
7-31	1396-1406	deveopment	_	
7-32	1407-1409	of	_	
7-33	1410-1415	tibia	RADLEX	
7-34	1416-1420	vara	_	
7-35	1421-1427	before	_	
7-36	1428-1435	typical	RADLEX	
7-37	1436-1446	radiologic	_	
7-38	1447-1455	findings	_	
7-39	1456-1461	occur	_	
7-40	1462-1463	.	_	

#Text=References Ozonoff , MB .
8-1	1464-1474	References	_	
8-2	1475-1482	Ozonoff	_	
8-3	1483-1484	,	_	
8-4	1485-1487	MB	_	
8-5	1488-1489	.	_	

#Text=PEDIATRIC ORTHOPEDIC RADIOLOGY , 2nd Ed , WB Saunders : Philadelphia , 1992 , pp324 - 31 .
9-1	1490-1499	PEDIATRIC	RADLEX	
9-2	1500-1510	ORTHOPEDIC	_	
9-3	1511-1520	RADIOLOGY	_	
9-4	1521-1522	,	_	
9-5	1523-1526	2nd	_	
9-6	1527-1529	Ed	_	
9-7	1530-1531	,	_	
9-8	1532-1534	WB	_	
9-9	1535-1543	Saunders	_	
9-10	1544-1545	:	_	
9-11	1546-1558	Philadelphia	_	
9-12	1559-1560	,	_	
9-13	1561-1565	1992	_	
9-14	1566-1567	,	_	
9-15	1568-1573	pp324	_	
9-16	1574-1575	-	_	
9-17	1576-1578	31	_	
9-18	1579-1580	.	_	

#Text=Greenspan , A .
10-1	1581-1590	Greenspan	_	
10-2	1591-1592	,	_	
10-3	1593-1594	A	_	
10-4	1595-1596	.	_	

#Text=ORTHOPEDIC RADIOLOGY : A PRACTICAL APPROACH .
11-1	1597-1607	ORTHOPEDIC	_	
11-2	1608-1617	RADIOLOGY	_	
11-3	1618-1619	:	_	
11-4	1620-1621	A	_	
11-5	1622-1631	PRACTICAL	_	
11-6	1632-1640	APPROACH	_	
11-7	1641-1642	.	_	

#Text=Lippincotts Williams & Wilkins , 2000 , 876 .
12-1	1643-1654	Lippincotts	_	
12-2	1655-1663	Williams	_	
12-3	1664-1665	&	_	
12-4	1666-1673	Wilkins	_	
12-5	1674-1675	,	_	
12-6	1676-1680	2000	_	
12-7	1681-1682	,	_	
12-8	1683-1686	876	_	
12-9	1687-1688	.	_	

#Text=1 image 
13-1	1689-1690	1	_	
13-2	1691-1696	image	_	
