#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Hepatoblastoma Albert Mendelson , M . D .
1-1	0-14	Hepatoblastoma	RADLEX	
1-2	15-21	Albert	_	
1-3	22-31	Mendelson	_	
1-4	32-33	,	_	
1-5	34-35	M	_	
1-6	36-37	.	_	
1-7	38-39	D	_	
1-8	40-41	.	_	

#Text=Eugene Anandappa , M . D . Children ' s Memorial Hospital Abstract 5 y / o female with a palpable abdominal mass Keywords liver , liver tumor , hepatoblastoma , liver mass , hepatobiliary Publication Date : 2004 - 05 - 25 History 5 y / o female with a palpable abdominal mass Findings CT : Well circumscribed partially calcified , mixed density mass located within the liver .
2-1	42-48	Eugene	_	
2-2	49-58	Anandappa	_	
2-3	59-60	,	_	
2-4	61-62	M	_	
2-5	63-64	.	_	
2-6	65-66	D	_	
2-7	67-68	.	_	
2-8	69-77	Children	_	
2-9	78-79	'	_	
2-10	80-81	s	_	
2-11	82-90	Memorial	_	
2-12	91-99	Hospital	_	
2-13	100-108	Abstract	_	
2-14	109-110	5	_	
2-15	111-112	y	_	
2-16	113-114	/	_	
2-17	115-116	o	_	
2-18	117-123	female	RADLEX	
2-19	124-128	with	_	
2-20	129-130	a	_	
2-21	131-139	palpable	RADLEX	
2-22	140-149	abdominal	RADLEX	
2-23	150-154	mass	RADLEX	
2-24	155-163	Keywords	_	
2-25	164-169	liver	RADLEX	
2-26	170-171	,	_	
2-27	172-177	liver	RADLEX	
2-28	178-183	tumor	RADLEX	
2-29	184-185	,	_	
2-30	186-200	hepatoblastoma	RADLEX	
2-31	201-202	,	_	
2-32	203-208	liver	RADLEX[10]|RADLEX[11]	
2-33	209-213	mass	RADLEX[10]|RADLEX[12]|RADLEX[13]|RADLEX[14]|RADLEX[15]|RADLEX[16]	
2-34	214-215	,	_	
2-35	216-229	hepatobiliary	_	
2-36	230-241	Publication	_	
2-37	242-246	Date	_	
2-38	247-248	:	_	
2-39	249-253	2004	_	
2-40	254-255	-	_	
2-41	256-258	05	_	
2-42	259-260	-	_	
2-43	261-263	25	_	
2-44	264-271	History	_	
2-45	272-273	5	_	
2-46	274-275	y	_	
2-47	276-277	/	_	
2-48	278-279	o	_	
2-49	280-286	female	RADLEX	
2-50	287-291	with	_	
2-51	292-293	a	_	
2-52	294-302	palpable	RADLEX	
2-53	303-312	abdominal	_	
2-54	313-317	mass	RADLEX	
2-55	318-326	Findings	_	
2-56	327-329	CT	_	
2-57	330-331	:	_	
2-58	332-336	Well	_	
2-59	337-350	circumscribed	RADLEX	
2-60	351-360	partially	RADLEX[21]	
