 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=        Diaphragmatic hernia Olya Polishchuk Mary Wyers, M.D.Children's Memorial Hospital  Abstract  Newborn with respiratory distress.
1-1	Diaphragmatic	B-RADLEX
1-2	hernia	I-RADLEX|B-RADLEX
1-3	Olya	O
1-4	Polishchuk	O
1-5	Mary	O
1-6	Wyers	O
1-7	,	O
1-8	M	O
1-9	.	O
1-10	D	O
1-11	.	O
1-12	Children	O
1-13	'	O
1-14	s	O
1-15	Memorial	O
1-16	Hospital	O
1-17	Abstract	O
1-18	Newborn	B-RADLEX
1-19	with	O
1-20	respiratory	B-RADLEX
1-21	distress	O
1-22	.	O

#id=2
#text=Keywords  diaphragmatic hernia, hernia, plain film   			Publication Date: 2004-06-14                History  Newborn with respiratory distress.
2-1	Keywords	O
2-2	diaphragmatic	B-RADLEX
2-3	hernia	O
2-4	,	O
2-5	hernia	B-RADLEX
2-6	,	O
2-7	plain	O
2-8	film	O
2-9	Publication	O
2-10	Date	O
2-11	:	O
2-12	2004	O
2-13	-	O
2-14	06	O
2-15	-	O
2-16	14	O
2-17	History	O
2-18	Newborn	B-RADLEX
2-19	with	O
2-20	respiratory	B-RADLEX
2-21	distress	O
2-22	.	O

#id=3
#text=  Findings 3/23/04 - Air-filled structures in the thorax are consistant with herniated loops of bowel.
3-1	Findings	O
3-2	3	O
3-3	/	O
3-4	23	O
3-5	/	O
3-6	04	O
3-7	-	O
3-8	Air	O
3-9	-	O
3-10	filled	O
3-11	structures	B-RADLEX
3-12	in	O
3-13	the	O
3-14	thorax	B-RADLEX
3-15	are	O
3-16	consistant	O
3-17	with	O
3-18	herniated	O
3-19	loops	O
3-20	of	O
3-21	bowel	B-RADLEX
3-22	.	O

#id=4
#text=Nasogastric tube loops into left hemithorax indicating herniated stomach.
4-1	Nasogastric	B-RADLEX|B-RADLEX
4-2	tube	I-RADLEX|B-RADLEX
4-3	loops	O
4-4	into	O
4-5	left	B-RADLEX|B-RADLEX
4-6	hemithorax	I-RADLEX|B-RADLEX
4-7	indicating	O
4-8	herniated	O
4-9	stomach	B-RADLEX
4-10	.	O

#id=5
#text=Mediastinum is shifted to the right.
